x,y,height
0.0,0.0,1625.1435714285124
51.96152422706631,0.0,2561.2758724656464
103.92304845413263,0.0,2783.614689725199
155.88457268119893,0.0,-2163.890146955741
207.84609690826525,0.0,227.8444025337347
259.80762113533154,0.0,244.80125990335802
311.76914536239786,0.0,211.52656715740022
363.7306695894642,0.0,-1534.6510792503711
415.6921938165305,0.0,-830.6138102478247
467.6537180435968,0.0,197.6372941211896
519.6152422706631,0.0,232.18476957190268
571.5767664977294,0.0,194.28951035564546
623.5382907247957,0.0,272.23304240729396
675.499814951862,0.0,342.0812567184579
727.4613391789284,0.0,548.7867527682117
779.4228634059947,0.0,625.3223067251075
831.384387633061,0.0,752.5790575514363
883.3459118601273,0.0,866.1450471574553
935.3074360871937,0.0,963.7207961274207
987.26896031426,0.0,1044.8978353570756
1039.2304845413262,0.0,1110.7054089668761
1091.1920087683925,0.0,1162.2038918996132
1143.1535329954588,0.0,1201.0996738758495
1195.1150572225251,0.0,1227.7326324577757
1247.0765814495915,0.0,1243.2135841959785
1299.0381056766578,0.0,1247.5208830163756
1350.999629903724,0.0,1244.694780539161
1402.9611541307904,0.0,1233.573514362327
1454.9226783578567,0.0,1218.3093073221921
1506.884202584923,0.0,1198.8889555991095
1558.8457268119894,0.0,1174.1858517141159
1610.8072510390557,0.0,1146.3805939337267
1662.768775266122,0.0,1114.5644294145059
1714.7302994931883,0.0,1079.9545595400098
1766.6918237202547,0.0,1043.3114820077299
1818.653347947321,0.0,1004.2416921082563
1870.6148721743873,0.0,960.2834708376299
1922.5763964014536,0.0,914.3774392472324
1974.53792062852,0.0,866.4015619578123
2026.4994448555863,0.0,818.0923623072363
2078.4609690826524,0.0,768.6118839534133
2130.422493309719,0.0,717.8546739203123
2182.384017536785,0.0,668.8427090620298
2234.3455417638515,0.0,620.4714874243284
2286.3070659909176,0.0,573.4314387753002
2338.268590217984,0.0,527.0849728811944
2390.2301144450503,0.0,562.8321946882013
2442.191638672117,0.0,376.97108960508695
2494.153162899183,0.0,309.8573745757851
2546.1146871262495,0.0,231.83370721918004
2598.0762113533156,0.0,-2099.6836332389184
2650.037735580382,0.0,-2046.6281982602757
2701.999259807448,0.0,-1981.9080457922887
2753.9607840345147,0.0,-2082.3193572743216
2805.922308261581,0.0,3044.646871355575
2857.8838324886474,0.0,2973.422576137771
2909.8453567157135,0.0,2844.499327891045
2961.80688094278,0.0,2649.9798741591303
3013.768405169846,0.0,2590.274733055611
3065.7299293969127,0.0,2456.257425774254
3117.6914536239788,0.0,2264.7760104621816
3169.6529778510453,0.0,1993.804508932502
3221.6145020781114,0.0,1602.7137904624678
3273.576026305178,0.0,1173.5503324106617
3325.537550532244,0.0,384.18089011542406
3377.49907475931,0.0,291.782437905071
3429.4605989863767,0.0,301.7721072074643
3481.422123213443,0.0,166.19659688543356
3533.3836474405093,0.0,-6148.630252056386
3585.3451716675754,0.0,-6052.481700488092
3637.306695894642,0.0,-6405.7437000515
3689.268220121708,0.0,-4389.692620055617
3741.2297443487746,0.0,-3280.5702340704934
3793.1912685758407,0.0,-3010.924566396465
3845.1527928029072,0.0,-2958.998693041978
3897.1143170299733,0.0,-2980.883137571759
3949.07584125704,0.0,-3042.7602947399896
4001.037365484106,0.0,-3144.561073308845
4052.9988897111725,0.0,-3332.7515968718544
4104.960413938239,0.0,-3664.7165143591983
4156.921938165305,0.0,-3759.1790182786135
4208.883462392371,0.0,-2288.1971305695124
4260.844986619438,0.0,-1878.0418255265265
4312.806510846504,0.0,-1828.9444385074876
4364.76803507357,0.0,-1725.2201159695392
4416.7295593006365,0.0,-6653.264790279876
4468.691083527703,0.0,-7125.204170735956
4520.65260775477,0.0,-6341.940934506825
4572.614131981835,0.0,-5934.779722845289
4624.575656208902,0.0,-5716.192592765798
4676.537180435968,0.0,-5563.804883459879
4728.498704663035,0.0,-5433.655467649651
4780.460228890101,0.0,-5310.9919279874
4832.421753117167,0.0,-5188.4786783955515
4884.383277344234,0.0,-5061.4441790437995
4936.3448015713,0.0,-4929.532634608966
4988.306325798366,0.0,-4790.233210910619
5040.267850025432,0.0,-4636.471303427466
5092.229374252499,0.0,-4467.350477616861
5144.190898479565,0.0,-4308.619093860536
5196.152422706631,0.0,-4148.113874453983
5248.113946933698,0.0,-3623.843489324391
5300.075471160764,0.0,-3590.7080894859814
5352.03699538783,0.0,-4672.814235887251
5403.998519614896,0.0,-4045.9342109689433
5455.960043841963,0.0,-4047.8171030659596
5507.9215680690295,0.0,-2217.7091229013367
5559.883092296095,0.0,-2221.7026891505466
5611.844616523162,0.0,-2304.2898837501384
5663.806140750228,0.0,-2317.145507340684
5715.767664977295,0.0,-4097.12048519046
5767.72918920436,0.0,-3909.874958639972
5819.690713431427,0.0,-3627.3934190315513
5871.6522376584935,0.0,-3685.1509522632227
5923.61376188556,0.0,-3942.3885531215387
5975.575286112626,0.0,-3975.7627688087014
6027.536810339692,0.0,-3791.456382236348
6079.498334566759,0.0,-3513.0052887397414
6131.459858793825,0.0,-3101.895751741557
6183.421383020891,0.0,-2748.0335055200635
6235.3829072479575,0.0,-159.5540708720846
6287.344431475024,0.0,-149.31865159346103
6339.305955702091,0.0,-123.66946946756075
6391.267479929156,0.0,-137.23365653423826
6443.229004156223,0.0,-1818.5686539135818
6495.190528383289,0.0,-2576.594273537162
6547.152052610356,0.0,-3209.737654362008
6599.1135768374215,0.0,-3632.636347390983
6651.075101064488,0.0,-3942.7240513421193
6703.036625291555,0.0,-4181.934747194777
6754.99814951862,0.0,-4376.123455143454
6806.959673745687,0.0,-4533.396077662295
6858.921197972753,0.0,-4662.844777421002
6910.88272219982,0.0,-4774.2756793464
6962.844246426886,0.0,-4865.745123329896
7014.805770653952,0.0,-4939.00676790812
7066.767294881019,0.0,-4998.466239918287
7118.728819108085,0.0,-5042.537151807237
7170.690343335151,0.0,-5070.309417977445
7222.651867562217,0.0,-5084.935990878937
7274.613391789284,0.0,-5090.456612449556
7326.5749160163505,0.0,-5096.232888051278
7378.536440243416,0.0,-5141.7082324984385
7430.497964470483,0.0,-5414.691511456711
7482.459488697549,0.0,-6582.593405882792
7534.421012924616,0.0,-2691.606781235875
7586.382537151681,0.0,2995.664982949426
7638.344061378748,0.0,2832.784930835547
7690.3055856058145,0.0,2772.668917934669
7742.267109832881,0.0,2763.0689573952827
7794.228634059947,0.0,2725.4255588234155
7846.190158287013,0.0,2659.7345237789923
7898.15168251408,0.0,2583.4355811172795
7950.113206741146,0.0,2499.857302837907
8002.074730968212,0.0,2409.108843644246
8054.0362551952785,0.0,2313.834531493295
8105.997779422345,0.0,2213.3412158604688
8157.959303649412,0.0,2108.279953256744
8209.920827876478,0.0,1999.010059203415
8261.882352103545,0.0,1884.6914870916617
8313.84387633061,0.0,1767.226195285794
8365.805400557676,0.0,1648.0280764107779
8417.766924784743,0.0,1528.8056715447215
8469.728449011809,0.0,1409.8931656609575
8521.689973238876,0.0,1294.2762486146157
8573.651497465942,0.0,1185.9641722715887
8625.613021693009,0.0,1083.7704802288881
8677.574545920073,0.0,990.2167551333973
8729.53607014714,0.0,905.9929698610197
8781.497594374207,0.0,833.968730248578
8833.459118601273,0.0,777.8433183079565
8885.42064282834,0.0,741.6237772448518
8937.382167055406,0.0,734.6581936272995
8989.343691282473,0.0,769.5456715750913
9041.30521550954,0.0,865.3264161539903
9093.266739736604,0.0,1114.4758076661726
9145.22826396367,0.0,1457.634487424878
9197.189788190737,0.0,149.48494565666945
9249.151312417804,0.0,749.98692156077
9301.11283664487,0.0,575.298808836291
9353.074360871937,0.0,569.8484417401721
9405.035885099003,0.0,562.249165196489
9456.99740932607,0.0,562.0775951615667
9508.958933553135,0.0,669.1624037659449
9560.920457780201,0.0,1210.5557625886847
9612.881982007268,0.0,863.760194825491
9664.843506234334,0.0,536.4310507403457
9716.8050304614,0.0,395.0372726329256
9768.766554688467,0.0,315.52597753154004
9820.728078915534,0.0,266.51543474849444
9872.6896031426,0.0,231.7220009798848
